cityName,stateName,slope,inter,homePriceMean,amplitude,shift,fitError,marketRank,rankedGrowth
Canton,Ohio,2703.888,467092.559,615806.422,28.7867576,-1.966386952,0.859926423,4,0.820252327
Newark,Delaware,1613.46,96663.354,185403.6697,25.09018723,-2.006734047,0.897360817,1,1.429115047
Mesquite,Texas,2311.399,234886.799,362013.7615,26.72809139,-2.123334969,0.883119816,2,1.202258628
Renton,Washington,1299.132,110337.666,181789.9083,43.64277313,-2.081941148,0.764177759,1,1.150700414
Metairie,Louisiana,557.124,95787.564,126429.3578,33.04293875,-2.205247808,0.789070493,1,0.493470115
Santa Maria,California,2420.879,338788.379,471936.6972,15.61301033,-2.443998966,0.780948634,3,0.891496305
Torrance,California,181.557,429267.584,439253.211,20.50405332,-1.894176666,0.813714126,4,0.055077189
Clearwater,Florida,1151.334,151438.991,214762.3853,36.89989788,-1.319679231,0.905977563,1,1.01978899
Fullerton,California,1238.097,82682.671,150777.9817,20.51517678,-1.501775638,0.800463314,1,1.096638933
McAllen,Texas,44.181,109754.434,112184.4037,13.60011818,-1.72376248,0.864475498,1,0.039133125
Compton,California,414.222,89289.348,112071.5596,6.495909859,-1.692657127,0.958475496,1,0.366895301
Inglewood,California,792.922,198790.214,242400.9174,3.010559275,-2.649049355,0.977770399,1,0.702327149
Kent,Washington,2083.611,229476.606,344075.2294,30.56196493,-2.035780674,0.822284053,2,1.083776233
West Valley City,Utah,2194.345,256529.358,377218.3486,25.11189074,-1.689497928,0.855440024,2,1.141373778
Olathe,Kansas,2846.669,173112.13,329678.8991,70.7724196,-1.874017863,0.714710851,1,2.521424456
Warren,Michigan,759.32,77411.723,119174.3119,28.44021147,-2.419643907,0.88128403,1,0.672564326
Miramar,Florida,3006.407,106001.733,271354.1284,18.56885832,-1.929904371,0.901685316,1,2.662911681
Thornton,Colorado,868.033,112641.692,160383.4862,54.58501701,-2.122088507,0.757069524,1,0.768856384
Abilene,Texas,567.173,158988.991,190183.4862,44.4080606,-1.780375596,0.673620765,1,0.502370972
Billings,Montana,323.177,127388.583,145163.3028,37.54145125,-2.179612402,0.629030267,1,0.286252596
